TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,days_since_last_transaction,hour_sin,hour_cos,week_sin,week_cos,month_sin,month_cos,transaction_hour,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student
235.42,1,0.02218430034129693,51,175,1,6173.23,52.045833333333334,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.4999999999999997,-0.8660254037844388,18,0,1,0,0,0,1,0
810.36,1,0.022753128555176336,20,67,1,9239.12,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,16,1,0,0,0,0,0,1
101.42,1,0.023890784982935155,66,146,1,6530.59,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,17,0,0,1,0,0,1,0
300.47,1,0.02844141069397042,73,100,1,7885.64,3.964583333333333,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,16,0,1,0,0,0,1,0
215.8,0,0.02844141069397042,51,66,1,3656.62,93.9263888888889,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,16,0,1,0,0,0,1,0
301.47,1,0.023321956769055744,21,291,1,560.73,0.0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,16,0,1,0,0,0,0,1
268.39,1,0.026166097838452786,26,171,1,136.74,18.00486111111111,-1.0,-1.8369701987210297e-16,0.0,1.0,1.2246467991473532e-16,-1.0,18,1,0,0,0,0,0,1
1241.05,1,0.026166097838452786,18,129,1,756.74,77.98472222222222,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,16,0,1,0,0,0,0,1
106.39,1,0.026734926052332197,37,281,1,9410.99,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.8660254037844386,0.5000000000000001,18,0,0,1,1,0,0,0
29.19,0,0.02218430034129693,58,41,1,12059.85,12.027083333333334,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,17,0,1,0,1,0,0,0
22.3,1,0.02844141069397042,21,90,1,1200.35,70.03472222222223,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,-0.8660254037844387,16,1,0,0,0,0,0,1
537.71,0,0.023321956769055744,19,175,1,1806.08,18.963194444444444,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,16,0,0,1,0,0,0,1
